"","loc","publication_name","language","publication_date","title","keywords","image_loc"
"1","https://www.tio.ch/svizzera/attualita/1713563/lavoro-essere-dipendenti-dati-aziende-algoritmi-usano","20minuti","it","2023-11-19T13:50+01:00","Le aziende svizzere usano l'AI per controllare i loro dipendenti","essere,dipendenti,dati,aziende,lavoro,usano,aziende svizzere,algoritmi,svizzera,protezione",NA
"2","https://www.tio.ch/dal-mondo/cronaca/1713562/uccide-quattro-donne-e-scappa-sospetto-killer-trovato-morto","20minuti","it","2023-11-19T13:41+01:00","Uccide quattro donne e scappa, sospetto killer trovato morto","morto,trovato morto,suicidio,trovato,omicidio,donne,polizia,sembra,trattarsi,prime indicazioni",NA
"3","https://www.tio.ch/people/people/1713557/miss-viene-nicaragua-palacio-salvador","20minuti","it","2023-11-19T13:30+01:00","La nuova Miss Universo viene dal Nicaragua","viene,miss,miss universo,nicaragua,palacio,el salvador,salvador,sheynnis,australia,miss australia",NA
"4","https://www.tio.ch/ticino/politica/1713532/ballottaggio-chiesa-e-regazzi-in-testa-per-distacco","20minuti","it","2023-11-19T12:54+01:00","Ballottaggio, Chiesa e Regazzi in testa per distacco","regazzi,chiesa,testa,ballottaggio,lugano,turno,farinelli,candidati,udc,legge",NA
"5","https://www.tio.ch/svizzera/cronaca/1713543/incendio-condominio-argovia-stato-dominic","20minuti","it","2023-11-19T12:42+01:00","Un uomo muore in un incendio all'interno di un condominio","incendio,argovia,condominio,stato,uomo stato,dominic,zimmerli,holderbank,dominic zimmerli",NA
"6","https://www.tio.ch/sport/altri-sport/1713536/troppo-vento-ancora-niente-gara","20minuti","it","2023-11-19T12:42+01:00","Troppo vento, (ancora) niente gara","vento,gara,sci alpino,zermatt,cervinia,lara gut,sci,cervinia,zermatt cervinia",NA
"7","https://www.tio.ch/dal-mondo/cronaca/1713535/turetta-catturato-per-le-luci-dell-auto-spente","20minuti","it","2023-11-19T12:40+01:00","Turetta catturato per le luci dell'auto spente","stata,italia,22enne,auto,turetta,giulia,luci,germania,fuga,otto",NA
"8","https://www.tio.ch/svizzera/cronaca/1713544/treno-ferite-17enne-trascinato-convoglio","20minuti","it","2023-11-19T12:05+01:00","Gravi ferite per un 17enne trascinato dal treno","convoglio,trascinato,gravi ferite,17enne,ferite,treno,partito portandosi,partito portandosi dietro,poi partito portandosi,caduto fra",NA
"9","https://www.tio.ch/svizzera/attualita/1713537/prodotti-prezzi-barkat-svizzera-costa-quartiere-negozi-spesa-gestiti-immigrati","20minuti","it","2023-11-19T11:49+01:00","Nei negozi di quartiere gestiti da immigrati la spesa costa fino al 30% meno","svizzera,spesa,prezzi,quartiere,prodotti,negozi,supermercato,immigrati,costa,gestiti",NA
"10","https://www.tio.ch/dal-mondo/attualita/1713539/donne-chiedo-scusa-italia-tajani","20minuti","it","2023-11-19T11:48+01:00","«Come uomo chiedo scusa alle donne»","chiedo,donne,uomo chiedo,scusa,chiedo scusa,uomo chiedo scusa,italia,premier,vice premier italiano,antonio tajani",NA
"11","https://www.tio.ch/svizzera/cronaca/1713530/auto-fa-un-volo-di-10-metri-e-si-schianta-contro-un-albero-grave-un-26enne","20minuti","it","2023-11-19T11:05+01:00","Auto fa un volo di 10 metri e si schianta contro un albero, grave un 26enne","metri,auto,volo,albero,26enne,stato,ospedale,elicottero,zurigo,strada",NA
"12","https://www.tio.ch/aziende-ticinesi-informano/1713361/bang-anni-henrik-direttore-comitato","20minuti","it","2023-11-19T10:28+01:00","Henrik Bang sarà il nuovo direttore di federlegno.ch","bang,henrik bang,henrik,direttore,anni,piccioli,danilo piccioli,comitato,danilo,guidato",NA
"13","https://www.tio.ch/dal-mondo/cronaca/1713524/contenimento-muro-maltempo-domingo-veicoli","20minuti","it","2023-11-19T10:23+01:00","Muro di contenimento crolla per il maltempo, otto morti","contenimento,muro,maltempo,santo domingo,repubblica dominicana,domingo,veicoli,repubblica,santo,intrappolati",NA
"14","https://www.tio.ch/sport/hockey/1713520/kessler-attaccante-punito-theodor-lennstrom","20minuti","it","2023-11-19T10:14+01:00","Squalifica per Kessler","kessler,attaccante,punito,theodor,lennström,theodor lennström,league,national,national league,partita",NA
"15","https://www.tio.ch/dal-mondo/cronaca/1713517/stato-germania-giulia-cecchettin-fermato","20minuti","it","2023-11-19T10:07+01:00","Il presunto killer di Giulia Cecchettin arrestato in Germania","22enne,stato,germania,corpo,vita,turetta,cecchettin,giulia cecchettin,giulia,vicino",NA
"16","https://www.tio.ch/dal-mondo/attualita/1713511/femminicidio-uomini-violenti-e-l-idea-patriarcale-del-possesso","20minuti","it","2023-11-19T10:00+01:00","Femminicidio: uomini violenti e l'idea patriarcale del possesso","italia,idea,possesso,violenza,femminicidio,donne,ragazza,scomparsa,tema,settimana",NA
"17","https://www.tio.ch/ticino/politica/1713510/ballottaggio-stati-consiglio-due-turno","20minuti","it","2023-11-19T09:49+01:00","È il giorno del ballottaggio, in cinque corrono per il Consiglio degli Stati","stati,ballottaggio,consiglio,due,possibile votare,turno,farinelli,busta,voti,consiglio stati",NA
"18","https://www.tio.ch/svizzera/attualita/1713506/rifiuti-raccolta-essere-comuni-cittadini-soli-camion","20minuti","it","2023-11-19T09:37+01:00","Addio ai camion dei rifiuti, i comuni risparmiano ma non mancano le critiche","raccolta rifiuti,rifiuti,raccolta,comuni,servizio pubblico,camion,cittadini,soli,essere,compito",NA
